cutoff,assembly_score
0.01,0.05035
0.01,0.05036
0.01001,0.05036
0.01002,0.05036
0.01003,0.05037
0.01004,0.05037
0.01004,0.05037
0.01004,0.05038
0.01004,0.05038
0.01004,0.05038
0.01006,0.05039
0.01007,0.05039
0.01008,0.05039
0.01009,0.05039
0.01009,0.0504
0.0101,0.0504
0.01011,0.0504
0.01011,0.05041
0.01011,0.05041
0.01011,0.05041
0.01013,0.05042
0.01014,0.05042
0.01015,0.05042
0.01015,0.05043
0.01015,0.05043
0.01016,0.05043
0.01017,0.05044
0.01017,0.05044
0.01017,0.05044
0.01017,0.05045
0.01018,0.05045
0.01018,0.05045
0.01018,0.05046
0.01018,0.05046
0.01019,0.05046
0.01019,0.05047
0.0102,0.05047
0.01021,0.05047
0.01021,0.05048
0.01021,0.05048
0.01022,0.05048
0.01022,0.05049
0.01022,0.05049
0.01023,0.05049
0.01023,0.0505
0.01025,0.0505
0.01025,0.0505
0.01026,0.05051
0.01026,0.05051
0.01026,0.05051
0.01027,0.05052
0.01027,0.05052
0.01027,0.05052
0.01027,0.05053
0.01028,0.05053
0.01029,0.05053
0.01029,0.05054
0.0103,0.05054
0.01031,0.05054
0.01031,0.05055
0.01033,0.05055
0.01034,0.05055
0.01035,0.05056
0.01037,0.05056
0.01038,0.05056
0.0104,0.05057
0.0104,0.05057
0.01042,0.05057
0.01043,0.05058
0.01043,0.05058
0.01044,0.05058
0.01044,0.05059
0.01044,0.05059
0.01044,0.05059
0.01045,0.0506
0.01045,0.0506
0.01045,0.0506
0.01045,0.05061
0.01048,0.05061
0.01049,0.05061
0.0105,0.05062
0.0105,0.05062
0.01051,0.05062
0.01051,0.05063
0.01051,0.05063
0.01052,0.05063
0.01053,0.05063
0.01053,0.05064
0.01054,0.05064
0.01055,0.05064
0.01056,0.05065
0.01056,0.05065
0.01057,0.05065
0.01058,0.05066
0.01058,0.05066
0.01059,0.05066
0.01059,0.05067
0.0106,0.05067
0.0106,0.05067
0.0106,0.05068
0.01061,0.05068
0.01062,0.05068
0.01063,0.05069
0.01064,0.05069
0.01064,0.05069
0.01064,0.0507
0.01064,0.0507
0.01064,0.0507
0.01065,0.05071
0.01065,0.05071
0.01065,0.05071
0.01068,0.05072
0.01068,0.05072
0.01069,0.05072
0.01069,0.05072
0.01069,0.05073
0.01069,0.05073
0.01069,0.05073
0.0107,0.05074
0.0107,0.05074
0.0107,0.05074
0.01072,0.05075
0.01074,0.05075
0.01075,0.05075
0.01075,0.05076
0.01076,0.05076
0.01076,0.05076
0.01076,0.05077
0.01077,0.05077
0.01077,0.05077
0.01078,0.05078
0.01079,0.05078
0.01079,0.05078
0.01081,0.05079
0.01081,0.05079
0.01081,0.05079
0.01082,0.0508
0.01082,0.0508
0.01083,0.0508
0.01084,0.05081
0.01084,0.05081
0.01085,0.05081
0.01086,0.05082
0.01087,0.05082
0.01087,0.05082
0.01087,0.05083
0.01088,0.05083
0.01088,0.05083
0.01089,0.05084
0.01089,0.05084
0.01089,0.05084
0.01089,0.05085
0.01091,0.05085
0.01091,0.05085
0.01091,0.05085
0.01092,0.05086
0.01092,0.05086
0.01093,0.05086
0.01093,0.05087
0.01094,0.05087
0.01096,0.05073
0.01096,0.05073
0.01096,0.05074
0.01097,0.05074
0.01097,0.05074
0.01098,0.05074
0.01098,0.05075
0.01099,0.05075
0.01101,0.05075
0.01102,0.05076
0.01102,0.05076
0.01104,0.05076
0.01104,0.05077
0.01105,0.05077
0.01105,0.05077
0.01106,0.05078
0.01107,0.05078
0.01107,0.05078
0.01108,0.05079
0.01108,0.05079
0.01108,0.05079
0.01108,0.0508
0.01108,0.0508
0.01109,0.0508
0.01109,0.05081
0.01112,0.05081
0.01112,0.05081
0.01113,0.05082
0.01113,0.05082
0.01115,0.05082
0.01116,0.05083
0.01118,0.05083
0.01118,0.05083
0.01119,0.05084
0.0112,0.05084
