cutoff,assembly_score
0.01,0.05332
0.01,0.05332
0.01,0.05332
0.01001,0.05333
0.01001,0.05333
0.01002,0.05333
0.01002,0.05334
0.01002,0.05334
0.01004,0.05334
0.01005,0.05335
0.01006,0.05335
0.01007,0.05335
0.01007,0.05336
0.01008,0.05336
0.01008,0.05336
0.01008,0.05337
0.01009,0.05337
0.0101,0.05337
0.01011,0.05338
0.01012,0.05338
0.01013,0.05338
0.01015,0.05338
0.01015,0.05338
0.01017,0.05339
0.01017,0.05339
0.01018,0.05339
0.0102,0.0534
0.0102,0.0534
0.0102,0.05341
0.01021,0.05341
0.01021,0.05341
0.01021,0.05342
0.01022,0.05342
0.01023,0.05342
0.01024,0.05343
0.01024,0.05343
0.01025,0.05343
0.01025,0.05344
0.01025,0.05344
0.01026,0.05344
0.01026,0.05345
0.01026,0.05345
0.01028,0.05345
0.01029,0.05346
0.0103,0.05346
0.0103,0.05346
0.01031,0.05347
0.01031,0.05347
0.01031,0.05347
0.01032,0.05348
0.01032,0.05348
0.01033,0.05348
0.01034,0.05349
0.01035,0.05349
0.01035,0.05349
0.01036,0.0535
0.01036,0.0535
0.01038,0.0535
0.01039,0.05351
0.01039,0.05351
0.0104,0.05351
0.0104,0.05352
0.01041,0.05352
0.01041,0.05352
0.01041,0.05353
0.01044,0.05353
0.01044,0.05353
0.01045,0.05354
0.01046,0.05354
0.01047,0.05354
0.01047,0.05355
0.0105,0.05355
0.0105,0.05355
0.01051,0.05356
0.01051,0.05356
0.01052,0.05356
0.01053,0.05357
0.01053,0.05357
0.01054,0.05357
0.01054,0.05358
0.01054,0.05358
0.01055,0.05358
0.01057,0.05359
0.01057,0.05359
0.01057,0.05359
0.01057,0.0536
0.01057,0.0536
0.01058,0.0536
0.01058,0.05361
0.01059,0.05361
0.01059,0.05361
0.01059,0.05362
0.01059,0.05362
0.01059,0.05362
0.0106,0.05363
0.0106,0.05363
0.01061,0.05363
0.01061,0.05364
0.01061,0.05364
0.01062,0.05364
0.01062,0.05365
0.01063,0.05365
0.01063,0.05365
0.01065,0.05366
0.01065,0.05366
0.01065,0.05366
0.01068,0.05367
0.01069,0.05367
0.0107,0.05367
0.0107,0.05368
0.01071,0.05368
0.01073,0.05368
0.01073,0.05369
0.01074,0.05369
0.01075,0.05369
0.01075,0.0537
0.01075,0.0537
0.01076,0.0537
0.01076,0.05371
0.01078,0.05371
0.01079,0.05371
0.01079,0.05372
0.01079,0.05372
0.0108,0.05372
0.0108,0.05373
0.0108,0.05373
0.01081,0.05373
0.01081,0.05374
0.01082,0.05374
0.01083,0.05374
0.01084,0.05375
0.01084,0.05375
0.01086,0.05375
0.01087,0.05376
0.01088,0.05376
0.0109,0.05376
0.01091,0.05377
0.01092,0.05377
0.01093,0.05377
0.01095,0.05378
0.01095,0.05378
0.01097,0.05378
0.01097,0.05379
0.01099,0.05379
0.01099,0.05379
0.011,0.0538
0.01101,0.0538
0.01101,0.0538
0.01103,0.05381
0.01103,0.05381
0.01103,0.05381
0.01105,0.05382
0.01106,0.05382
0.01106,0.05382
0.01106,0.05383
0.01107,0.05383
0.01107,0.05383
0.01108,0.05384
0.01108,0.05384
0.01108,0.05384
0.01108,0.05385
0.01108,0.05385
0.01108,0.05386
0.01109,0.05386
0.01109,0.05386
0.0111,0.05387
0.0111,0.05387
0.01111,0.05387
0.01112,0.05388
0.01112,0.05388
0.01113,0.05388
0.01113,0.05389
0.01113,0.05389
0.01114,0.05389
0.01114,0.05389
0.01115,0.0539
0.01116,0.0539
0.01118,0.0539
0.01118,0.05391
0.01119,0.05391
0.0112,0.05391
0.0112,0.05392
0.0112,0.05392
0.0112,0.05392
0.01121,0.05393
0.01121,0.05393
0.01121,0.05393
0.01122,0.05394
0.01122,0.05394
0.01123,0.05394
0.01124,0.05395
0.01124,0.05395
0.01124,0.05395
0.01125,0.05396
0.01126,0.05396
0.01127,0.05396
0.01127,0.05397
0.0113,0.05397
0.0113,0.05397
0.0113,0.05398
0.01131,0.05398
0.01132,0.05398
0.01133,0.05399
0.01133,0.05399
0.01133,0.05399
0.01136,0.054
0.01136,0.054
0.01136,0.054
0.01138,0.05401
0.01138,0.05401
0.01138,0.05401
0.01138,0.05402
0.01139,0.05402
0.01139,0.05402
0.0114,0.05403
0.0114,0.05403
0.01141,0.05403
0.01141,0.05404
0.01142,0.05404
0.01143,0.05404
0.01143,0.05405
0.01143,0.05405
0.01144,0.05405
0.01144,0.05406
0.01145,0.05406
0.01146,0.05406
0.01148,0.05407
0.01148,0.05407
0.01148,0.05407
0.01149,0.05408
0.0115,0.05408
0.01151,0.05408
0.01153,0.05409
0.01153,0.05409
0.01153,0.05409
0.01154,0.0541
0.01154,0.0541
0.01156,0.0541
0.01156,0.05411
0.01158,0.05411
0.01158,0.05411
0.01159,0.05412
0.0116,0.05412
0.01161,0.05412
0.01162,0.05413
0.01166,0.05413
0.01166,0.05413
0.01167,0.05414
0.01167,0.05414
0.01167,0.05414
0.01168,0.05415
0.01169,0.05415
0.01171,0.05415
0.01172,0.05416
0.01173,0.05416
0.01174,0.05416
0.01174,0.05417
0.01174,0.05417
0.01174,0.05417
0.01175,0.05418
0.01176,0.05418
0.01176,0.05418
0.01177,0.05419
0.01178,0.05419
0.01178,0.05419
0.01178,0.05419
0.01178,0.0542
0.01179,0.05414
0.0118,0.05414
0.01181,0.05415
0.01181,0.05415
0.01183,0.05415
0.01184,0.05416
0.01185,0.05416
0.01187,0.05416
0.01187,0.05417
0.01187,0.05417
0.01187,0.05417
0.01188,0.05418
0.01188,0.05418
0.01189,0.05418
0.0119,0.05419
0.0119,0.05419
0.01191,0.05419
0.01191,0.0542
0.01193,0.0542
0.01193,0.0542
0.01193,0.05421
0.01194,0.05421
0.01195,0.05421
0.01196,0.05422
0.01197,0.05422
0.01197,0.05422
0.01198,0.05423
0.01199,0.05423
0.01199,0.05423
0.01199,0.05424
0.01199,0.05424
0.01199,0.05424
0.012,0.05425
0.012,0.05425
0.012,0.05425
0.01201,0.05426
0.01201,0.05426
0.01203,0.05426
0.01203,0.05427
0.01204,0.05427
0.01204,0.05427
0.01205,0.05428
0.01205,0.05428
0.01207,0.05428
0.01207,0.05429
0.01207,0.05429
0.01209,0.05429
