cutoff,assembly_score
0.01,0.04893
0.01002,0.04893
0.01002,0.04894
0.01005,0.04894
0.01006,0.04894
0.01006,0.04895
0.01007,0.04895
0.01007,0.04896
0.01008,0.04896
0.01008,0.04896
0.0101,0.04897
0.01011,0.04897
0.01012,0.04897
0.01012,0.04898
0.01012,0.04898
0.01013,0.04899
0.01013,0.04899
0.01017,0.04899
0.0102,0.049
0.01023,0.049
0.01027,0.04901
0.0103,0.04901
0.01031,0.04901
0.01032,0.04902
0.01033,0.04902
0.01034,0.04903
0.01034,0.04903
0.01036,0.04903
0.01039,0.04904
0.01041,0.04904
0.01042,0.04904
0.01044,0.04905
0.01044,0.04905
0.01045,0.04906
0.01046,0.04906
0.01046,0.04906
0.01048,0.04907
0.01048,0.04907
0.01049,0.04907
0.01051,0.04908
0.01051,0.04908
0.01052,0.04909
0.01052,0.04909
0.01055,0.04909
0.01061,0.0491
0.01061,0.0491
0.01064,0.04911
0.01065,0.04911
0.01066,0.04911
0.01073,0.04912
0.01073,0.04912
0.01073,0.04913
0.01073,0.04913
0.01073,0.04913
0.01074,0.04914
0.01075,0.04914
0.01076,0.04914
0.01079,0.04915
0.01081,0.04915
0.01082,0.04916
0.01084,0.04916
0.01084,0.04916
0.01084,0.04917
0.01085,0.04917
0.01086,0.04918
0.01087,0.04918
0.01087,0.04918
0.0109,0.04919
0.01091,0.04919
0.01092,0.04919
0.01093,0.0492
0.01094,0.0492
0.01095,0.04921
0.01096,0.04921
0.01096,0.04921
0.01097,0.04922
0.01097,0.04922
0.01098,0.04923
0.01099,0.04923
0.011,0.04923
0.01101,0.04924
0.01102,0.04924
0.01103,0.04924
0.01104,0.04925
0.01107,0.04925
0.01108,0.04926
0.01111,0.04926
0.01113,0.04926
0.01113,0.04927
0.01114,0.04927
0.01114,0.04927
0.01115,0.04928
0.01116,0.04928
0.01119,0.04929
0.01119,0.04929
0.0112,0.04929
0.0112,0.0493
0.0112,0.0493
0.0112,0.0493
0.0112,0.04931
0.01121,0.04931
0.01121,0.04932
0.01121,0.04932
0.01123,0.04932
0.01124,0.04933
0.01124,0.04933
0.01125,0.04933
0.01126,0.04934
0.01129,0.04934
0.01132,0.04935
0.01137,0.04935
0.0114,0.04935
0.01142,0.04936
0.01142,0.04936
0.01144,0.04937
0.01146,0.04937
0.01148,0.04937
0.01151,0.04938
0.01153,0.04938
0.01154,0.04938
0.01154,0.04939
0.01154,0.04939
0.01155,0.04939
0.01156,0.0494
0.01159,0.0494
0.01159,0.04941
0.01161,0.04941
0.01164,0.04941
0.01165,0.04942
0.01165,0.04942
0.01168,0.04943
0.01168,0.04943
0.01174,0.04943
0.01174,0.04944
0.01178,0.04944
0.0118,0.04944
0.01181,0.04945
0.01181,0.04945
0.01186,0.04946
0.01186,0.04946
0.01189,0.04946
0.0119,0.04947
0.01191,0.04947
0.01194,0.04947
0.01195,0.04948
0.01195,0.04948
0.01196,0.04949
0.01198,0.04949
0.01199,0.04949
0.012,0.0495
0.01201,0.0495
0.01203,0.0495
0.01203,0.04951
0.01204,0.04951
0.01208,0.04952
0.01213,0.0491
0.01215,0.0491
0.01216,0.04911
0.01216,0.04911
0.01217,0.04911
0.01219,0.04912
0.0122,0.04912
0.01226,0.04912
0.01227,0.04913
0.01228,0.04913
0.0123,0.04913
0.0123,0.04914
0.01232,0.04914
0.01234,0.04915
0.01234,0.04915
0.01235,0.04915
0.01237,0.04916
0.01237,0.04916
0.01242,0.04916
0.01242,0.04917
0.01243,0.04917
0.01243,0.04918
0.01246,0.04918
0.01246,0.04918
0.01247,0.04919
0.01247,0.04919
0.01249,0.04919
0.0125,0.0492
0.0125,0.0492
0.0125,0.0492
0.01251,0.04921
0.01252,0.04921
0.01255,0.04922
0.01255,0.04922
0.01256,0.04922
0.01258,0.04923
0.01258,0.04923
0.01261,0.04923
0.01262,0.04924
0.01262,0.04924
0.01266,0.04924
0.01268,0.04925
0.0127,0.04925
0.01271,0.04926
0.01272,0.04926
0.01272,0.04926
0.01275,0.04927
0.01276,0.04927
0.01277,0.04927
0.01278,0.04928
0.01279,0.04928
0.01279,0.04928
0.01281,0.04929
0.01281,0.04929
0.01282,0.0493
0.01282,0.0493
0.01285,0.0493
0.01285,0.04931
0.01286,0.04931
0.01287,0.04931
0.01288,0.04932
0.01288,0.04932
0.01288,0.04932
0.0129,0.04933
0.01293,0.04933
0.01294,0.04934
0.01296,0.04934
0.01297,0.04934
0.01297,0.04934
0.01302,0.04934
0.01304,0.04935
0.01304,0.04935
0.01306,0.04936
0.01306,0.04936
0.01307,0.04936
0.01309,0.04937
0.01309,0.04937
0.01311,0.04937
0.01312,0.04938
0.01312,0.04938
0.01313,0.04939
0.01313,0.04939
0.01315,0.04939
0.01315,0.0494
0.01318,0.0494
0.01319,0.0494
0.0132,0.04941
0.01322,0.04941
0.01323,0.04941
0.01323,0.04942
0.01324,0.04942
0.01325,0.04942
0.01326,0.04943
0.01326,0.04943
0.01327,0.04944
0.01328,0.04944
0.01328,0.04944
0.01333,0.04945
0.01335,0.04945
0.01336,0.04837
0.01339,0.04838
0.01339,0.04838
0.0134,0.04838
0.01343,0.04839
0.01345,0.04839
0.01345,0.04839
0.01347,0.0484
0.01349,0.0484
0.01349,0.0484
0.0135,0.04841
0.0135,0.04841
0.01351,0.04841
0.01351,0.04842
0.01352,0.04842
