name,p_seq_true,bridges,length,fragments_mapped,both_mapped,properpair,good,bases_uncovered,p_not_segmented
TR1-c0_g1_i1,0.9,1,272,1,1,1,0,122,0.997314
TR1-c0_g1_i2,0.728571,0,272,0,0,0,0,183,0.996749
TR1-c0_g1_i3,0.771429,0,273,0,0,0,0,182,0.997424
TR1-c0_g1_i4,0.78961,5,273,10,9,5,1,5,0.932922
TR2-c0_g1_i1,0.802521,0,441,38,31,25,15,0,0.736935
TR3-c0_g1_i1,0.805952,5,423,9,7,6,1,3,0.950349
TR3-c0_g2_i1,1,0,423,1,0,0,0,166,0.996581
TR4-c0_g1_i1,0.861905,1,273,21,18,15,9,7,0.809152
TR5-c0_g1_i1,0.874074,0,413,14,12,12,7,53,0.913223
TR5-c0_g2_i1,0.845208,0,726,41,38,32,19,0,0.688429
TR6-c0_g1_i1,0.765079,5,264,12,11,8,2,20,0.910056
TR6-c0_g2_i1,0.674074,11,263,21,15,10,3,3,0.449809
TR7-c0_g1_i1,0.964835,2,271,6,6,4,2,12,0.96284
TR7-c0_g2_i1,0.826891,1,271,10,5,4,1,0,0.327973
TR8-c0_g1_i1,0.801299,2,935,31,29,27,11,133,0.94639
TR8-c0_g2_i1,0.869538,1,936,70,70,58,33,5,0.912591
TR9-c0_g1_i1,0.836975,4,281,5,4,4,0,17,0.908259
TR9-c0_g1_i2,0.844099,10,296,21,17,12,0,0,0.814691
TR10-c0_g1_i1,0.942857,0,304,1,0,0,0,52,0.992167
TR10-c0_g2_i1,0.828571,6,304,9,6,6,0,25,0.961085
TR10-c1_g1_i1,0.908434,0,326,44,41,37,19,9,0.824637
TR11-c0_g1_i1,0.862548,0,518,37,36,33,22,6,0.882543
TR12-c0_g1_i1,0.813557,3,540,84,82,76,29,0,0.635974
TR12-c0_g1_i2,0.867638,2,539,23,23,21,11,21,0.827513
TR13-c0_g1_i1,0.772381,3,485,15,12,8,3,0,0.941311
TR13-c0_g2_i1,0.866667,1,282,1,1,1,0,47,0.997059
TR14-c0_g1_i1,0.874026,0,227,12,11,8,5,34,0.669345
TR14-c0_g2_i1,0.832653,1,226,21,15,11,8,9,0.393128
TR15-c0_g1_i1,0.821429,0,493,2,2,2,1,237,0.997062
TR15-c0_g1_i2,0.847042,0,640,49,45,41,24,11,0.880028
TR16-c0_g1_i1,0.840927,6,413,13,10,8,1,24,0.38926
TR16-c0_g2_i1,0.837736,10,413,22,17,16,2,44,0.353495
TR17-c0_g1_i1,0.860465,1,658,219,211,193,104,7,0.578604
TR18-c0_g1_i1,0.840608,11,615,610,573,505,258,0,0.0417272
TR18-c0_g2_i1,0.787164,4,615,106,88,67,36,44,0.0545824
TR19-c0_g1_i1,0.873733,0,237,16,15,14,8,4,0.664086
TR20-c0_g1_i1,0.804762,1,275,2,2,1,0,52,0.993323
