contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TR1-c0_g1_i1,272,0.404412,0.181818,0.0,21,1.952821,90,0.063232,false,NA,NA
TR1-c0_g1_i2,272,0.404412,0.145455,0.0,20,1.837217,53,0.063965,false,NA,NA
TR1-c0_g1_i3,273,0.406593,0.135135,-0.024691,20,1.805556,54,0.064209,false,NA,NA
TR1-c0_g1_i4,273,0.406593,0.171171,-0.024691,21,1.917391,89,0.063477,false,NA,NA
TR2-c0_g1_i1,441,0.433107,0.04712,0.104,44,2.132308,146,0.097168,false,NA,NA
TR3-c0_g1_i1,423,0.373522,-0.113924,0.011321,31,2.128734,141,0.093262,true,0.442708,ZC443.1
TR3-c0_g2_i1,423,0.375887,-0.18239,0.030303,31,2.146154,37,0.093506,false,NA,NA
TR4-c0_g1_i1,273,0.406593,-0.225225,-0.08642,15,1.400479,90,0.057861,false,NA,NA
TR5-c0_g1_i1,413,0.428571,-0.129944,-0.110169,40,2.145455,69,0.088379,false,NA,NA
TR5-c0_g2_i1,726,0.417355,-0.122112,-0.252955,68,2.183459,154,0.144043,false,NA,NA
TR6-c0_g1_i1,264,0.454545,-0.2,-0.166667,37,2.826389,87,0.059082,true,0.211755,Y34D9A.7a
TR6-c0_g2_i1,263,0.441065,-0.086207,-0.102041,33,2.599281,55,0.058594,true,0.139291,Y34D9A.7a
TR7-c0_g1_i1,271,0.439114,-0.07563,0.013158,21,1.616761,53,0.063232,false,NA,NA
TR7-c0_g2_i1,271,0.424354,-0.113043,-0.064103,19,1.577512,89,0.061035,false,NA,NA
TR8-c0_g1_i1,935,0.373262,-0.106017,-0.023891,53,1.645908,311,0.187256,true,0.593771,T19B10.1
TR8-c0_g2_i1,936,0.371795,-0.12069,-0.037415,52,1.631373,298,0.186768,true,0.593771,T19B10.1
TR9-c0_g1_i1,281,0.263345,0.297297,0.207729,13,2.927083,47,0.055176,true,0.70098,T19H5.7
TR9-c0_g1_i2,296,0.280405,0.180723,0.164319,14,2.487395,31,0.060547,true,0.583333,T19H5.7
TR10-c0_g1_i1,304,0.417763,0.338583,0.050847,19,1.617927,101,0.069092,false,NA,NA
TR10-c0_g2_i1,304,0.424342,0.333333,0.074286,20,1.644132,101,0.069092,false,NA,NA
TR10-c1_g1_i1,326,0.395706,-0.457364,-0.248731,12,1.189058,28,0.068115,false,NA,NA
TR11-c0_g1_i1,518,0.415058,-0.004651,0.10231,44,1.972309,140,0.110352,false,NA,NA
TR12-c0_g1_i1,540,0.411111,0.027027,-0.157233,45,1.973684,156,0.118896,true,0.746032,C27A12.10
TR12-c0_g1_i2,539,0.400742,0.046296,-0.027864,37,1.713463,76,0.119385,true,0.531746,C27A12.10
TR13-c0_g1_i1,485,0.408247,0.040404,-0.038328,36,1.784364,88,0.105225,false,NA,NA
TR13-c0_g2_i1,282,0.450355,0.165354,-0.045161,25,1.797552,69,0.063232,false,NA,NA
TR14-c0_g1_i1,227,0.409692,-0.16129,-0.134328,20,2.155745,75,0.051025,false,NA,NA
TR14-c0_g2_i1,226,0.40708,-0.108696,0.014925,17,1.837398,75,0.053223,false,NA,NA
TR15-c0_g1_i1,493,0.446247,-0.109091,-0.465201,43,1.773085,153,0.098877,false,NA,NA
TR15-c0_g1_i2,640,0.426562,-0.106227,-0.286104,49,1.702312,192,0.132568,true,1.003683,Y37H2A.14
TR16-c0_g1_i1,413,0.387409,-0.0625,-0.288538,40,2.591373,137,0.082031,true,0.353144,Y49E10.21b
TR16-c0_g2_i1,413,0.384988,-0.069182,-0.23622,37,2.429412,99,0.083984,false,NA,NA
TR17-c0_g1_i1,658,0.398176,0.0,-0.035354,53,2.032166,159,0.132813,false,NA,NA
TR18-c0_g1_i1,615,0.427642,0.102662,0.107955,57,2.048802,112,0.130615,true,0.726098,T05H4.12.3
TR18-c0_g2_i1,615,0.430894,-0.003774,0.12,61,2.136876,93,0.134033,false,NA,NA
TR19-c0_g1_i1,237,0.413502,-0.040816,-0.107914,21,2.076345,78,0.053223,true,0.666667,Y50D7A.3b
TR20-c0_g1_i1,275,0.352727,-0.092784,-0.224719,17,2.004717,38,0.060791,false,NA,NA
