contig_name,length,prop_gc,gc_skew,at_skew,cpg_count,cpg_ratio,orf_length,linguistic_complexity_6,has_crb,reference_coverage,hits
TR1-c0_g1_i1,357,0.389356,0.122302,0.091743,22,1.650694,119,0.078125,false,NA,NA
TR2-c0_g1_i1,251,0.310757,0.0,0.052023,16,2.640368,13,0.055176,false,NA,NA
TR3-c0_g1_i1,355,0.340845,-0.057851,-0.076923,18,1.751645,103,0.076904,false,NA,NA
TR4-c0_g1_i1,279,0.405018,-0.256637,-0.421687,19,1.777666,92,0.059814,false,NA,NA
TR4-c0_g2_i1,278,0.438849,-0.213115,-0.128205,24,1.878378,37,0.060059,false,NA,NA
TR5-c0_g1_i1,342,0.423977,0.006897,0.025381,27,1.756849,113,0.078613,true,0.097317,D2021.1
TR6-c0_g1_i1,337,0.388724,0.267176,0.058252,23,1.945532,111,0.074951,false,NA,NA
TR6-c0_g2_i1,336,0.389881,0.236641,0.063415,23,1.908148,95,0.074951,false,NA,NA
TR7-c0_g1_i1,343,0.341108,-0.111111,-0.132743,18,1.826627,36,0.072266,false,NA,NA
TR7-c0_g2_i1,342,0.342105,-0.111111,-0.128889,18,1.821302,36,0.072021,false,NA,NA
TR8-c0_g1_i1,450,0.302222,0.044118,0.22293,24,2.340195,44,0.093506,false,NA,NA
TR9-c0_g1_i1,411,0.408759,0.107143,0.135802,46,2.710538,115,0.091797,false,NA,NA
TR9-c0_g2_i1,653,0.413476,0.081481,0.10705,77,2.777342,217,0.13916,true,0.248762,K09B11.9b
TR10-c0_g1_i1,238,0.394958,0.106383,0.236111,19,2.070513,34,0.05127,false,NA,NA
TR10-c0_g2_i1,238,0.361345,0.488372,0.236842,19,3.211648,75,0.051514,false,NA,NA
TR10-c0_g3_i1,372,0.306452,-0.192982,-0.046512,23,2.735294,57,0.070068,false,NA,NA
TR11-c0_g1_i1,790,0.364557,-0.090278,0.003984,49,1.882141,230,0.161621,true,0.750531,C08F11.5a
TR11-c0_g2_i1,790,0.36962,-0.10274,-0.052209,50,1.872837,256,0.161621,true,0.795117,C08F11.5a
TR12-c0_g1_i1,403,0.39206,0.063291,0.102041,29,1.880148,93,0.088379,false,NA,NA
TR12-c0_g2_i1,882,0.441043,0.07455,0.010142,82,1.922488,293,0.182373,true,0.434418,F53A2.8a
TR12-c0_g3_i1,439,0.394077,0.00578,0.075188,30,1.760225,76,0.096191,false,NA,NA
TR13-c0_g1_i1,464,0.349138,0.037037,0.066225,29,2.053724,69,0.098145,false,NA,NA
TR13-c0_g1_i2,406,0.362069,-0.034014,0.027027,23,1.730541,105,0.088379,true,0.951952,F55C12.7.3
