name,p_seq_true,bridges,length,fragments_mapped,both_mapped,properpair,good,bases_uncovered,p_not_segmented
TR1-c0_g1_i1,0.882392,0,357,25,22,18,12,0,0.948282
TR2-c0_g1_i1,0.842017,0,251,8,6,6,3,1,0.953369
TR3-c0_g1_i1,0.834749,0,355,37,35,32,17,2,0.885362
TR4-c0_g1_i1,0.784477,4,279,68,51,41,19,9,0.440191
TR4-c0_g2_i1,0.756019,3,278,51,36,26,10,7,0.341684
TR5-c0_g1_i1,0.90662,0,342,21,21,19,8,18,0.896306
TR6-c0_g1_i1,0.855411,13,337,17,15,14,0,7,0.81856
TR6-c0_g2_i1,0.803647,13,336,22,18,14,2,17,0.892285
TR7-c0_g1_i1,0.909091,4,343,4,4,4,0,26,0.970664
TR7-c0_g2_i1,0.817143,5,342,5,5,4,0,67,0.981502
TR8-c0_g1_i1,0.916364,0,450,28,26,24,19,36,0.881572
TR9-c0_g1_i1,0.819704,2,411,6,5,5,3,6,0.941214
TR9-c0_g2_i1,0.857709,7,653,46,44,34,20,31,0.630691
TR10-c0_g1_i1,0.838857,0,238,10,9,8,6,50,0.12984
TR10-c0_g2_i1,0.776457,3,238,70,57,50,19,0,0.170175
TR10-c0_g3_i1,0.825893,1,372,17,13,11,6,10,0.784711
TR11-c0_g1_i1,0.834951,1,790,48,46,45,24,3,0.910773
TR11-c0_g2_i1,0.819825,2,790,48,44,39,20,5,0.923461
TR12-c0_g1_i1,0.935714,0,403,12,11,11,6,95,0.626219
TR12-c0_g2_i1,0.837908,1,882,76,73,66,40,0,0.858256
TR12-c0_g3_i1,0.79304,2,439,77,71,64,29,33,0.464012
TR13-c0_g1_i1,0.827551,4,464,53,53,53,28,26,0.443577
TR13-c0_g1_i2,0.766234,2,406,9,8,8,3,1,0.917062
TR13-c0_g1_i3,0.628571,1,314,1,1,1,0,221,0.997424
TR13-c0_g1_i4,1,0,556,0,0,0,0,556,0.997424
TR14-c0_g1_i1,0.840749,1,445,60,52,44,25,24,0.354948
TR14-c0_g2_i1,0.838251,5,686,74,71,63,41,1,0.83865
TR14-c0_g3_i1,0.865055,4,478,29,26,20,8,82,0.5965
TR15-c0_g1_i1,0.854786,55,361,98,84,77,14,4,0.417629
TR15-c0_g2_i1,0.921659,7,361,9,8,7,1,2,0.548545
TR15-c0_g3_i1,0.842569,3,430,286,249,218,123,2,0.615728
TR16-c0_g1_i1,0.88961,3,327,10,10,8,4,8,0.570878
TR16-c0_g2_i1,0.905263,0,326,5,5,5,4,34,0.981475
TR16-c0_g3_i1,0.848692,2,270,39,34,29,15,0,0.714537
TR16-c1_g1_i1,0.795918,0,315,12,8,8,4,0,0.806512
TR17-c0_g1_i1,0.844377,0,288,25,23,20,15,1,0.864564
TR18-c0_g1_i1,0.959524,0,582,5,4,4,2,283,0.995167
TR18-c0_g2_i1,0.877464,3,582,96,91,84,51,4,0.290549
TR19-c0_g1_i1,1,2,327,2,2,2,0,184,0.997025
TR19-c0_g2_i1,0.742857,9,370,18,16,12,1,41,0.665986
TR19-c0_g3_i1,0.918012,0,305,12,9,9,5,16,0.814101
TR20-c0_g1_i1,0.868027,4,373,5,5,5,1,14,0.859309
TR20-c0_g2_i1,0.83154,8,372,26,15,6,0,6,0.827926
TR21-c0_g1_i1,0.835381,0,353,206,182,153,89,6,0.21767
TR22-c0_g1_i1,0.834921,3,507,21,21,18,5,25,0.883015
TR22-c0_g2_i1,0.828571,2,252,2,2,1,0,87,0.995252
TR23-c0_g1_i1,0.82091,1,921,82,80,75,34,16,0.855226
TR23-c0_g2_i1,0.779592,0,723,2,2,2,1,422,0.987814
TR24-c0_g1_i1,0.730357,8,264,14,14,11,2,3,0.891916
TR24-c0_g2_i1,0.650286,6,263,13,9,5,2,9,0.843206
TR25-c0_g1_i1,0.855238,0,505,16,14,12,9,47,0.437728
TR25-c0_g2_i1,1,2,322,2,2,2,0,225,0.995763
TR25-c0_g3_i1,0.72381,5,366,12,10,8,1,0,0.930814
TR26-c0_g1_i1,0.813175,17,522,145,140,125,51,0,0.665447
TR26-c0_g2_i1,0.837339,44,522,295,278,237,89,0,0.762061
TR27-c0_g1_i1,0.82381,0,340,12,8,8,3,1,0.768562
TR27-c0_g2_i1,0.856065,0,721,25,25,25,15,98,0.96208
TR27-c0_g2_i2,0.836466,2,703,78,70,64,34,35,0.883598
TR28-c0_g1_i1,0.685714,0,252,17,12,8,4,13,0.89412
TR29-c0_g1_i1,0.836237,0,1199,64,62,54,33,0,0.887559
TR30-c0_g1_i1,0.879273,3,955,178,169,160,93,0,0.649399
TR30-c0_g2_i1,0.775188,5,237,28,25,18,6,5,0.555239
TR30-c0_g3_i1,0.806667,7,236,50,37,28,15,17,0.134271
TR31-c0_g1_i1,0.971429,0,635,3,3,3,3,460,0.996744
TR31-c0_g2_i1,0.822085,5,636,98,88,75,36,8,0.89823
TR32-c0_g1_i1,0.822242,0,2175,69,69,68,34,149,0.502157
TR32-c0_g2_i1,0.836917,5,2176,349,332,300,154,0,0.367497
TR33-c0_g1_i1,0.748848,0,659,34,32,25,8,40,0.843781
TR34-c0_g1_i1,0.885714,2,325,3,3,3,0,46,0.666923
TR34-c0_g2_i1,0.843902,13,325,21,19,13,1,10,0.47077
TR34-c0_g3_i1,0.827068,0,235,10,9,8,3,1,0.924154
TR35-c0_g1_i1,0.961905,1,342,2,2,2,0,199,0.877568
TR35-c0_g1_i2,0.844788,4,343,12,10,7,3,0,0.717506
TR35-c0_g2_i1,0.894036,1,485,54,51,46,30,36,0.71375
TR36-c0_g1_i1,0.749206,2,253,3,2,1,0,8,0.446506
