name,p_seq_true,bridges,length,fragments_mapped,both_mapped,properpair,good,bases_uncovered,p_not_segmented
TR1_c0_g1_i1,0.856907,2,760,59,58,53,30,10,0.91066
TR2_c0_g1_i1,0.898214,0,228,8,8,8,3,0,0.950516
TR3_c0_g1_i1,0.850286,0,403,12,11,10,7,0,0.90932
TR4_c0_g1_i1,0.876786,0,282,9,8,7,4,0,0.937081
TR5_c0_g1_i1,0.42974,1,235,14,5,4,1,0,0.0486309
TR6_c0_g1_i1,0.754286,0,294,6,6,6,3,0,0.746171
TR7_c0_g1_i1,0.980952,3,230,3,3,3,0,86,0.994478
TR7_c0_g2_i1,0.821429,1,230,2,2,2,0,5,0.926788
TR8_c0_g1_i1,0.902041,0,313,14,14,13,11,0,0.919336
TR9_c0_g1_i1,0.957143,1,278,5,4,4,3,94,0.910858
TR9_c0_g2_i1,0.895238,0,286,4,2,2,2,7,0.76961
TR9_c0_g3_i1,0.971429,0,277,2,2,1,1,158,0.96298
TR10_c0_g1_i1,0.323542,24,636,63,39,16,8,8,0.587931
TR10_c0_g1_i2,0.842857,0,546,2,2,2,0,431,0.93181
TR11_c0_g1_i1,0.440789,1,355,20,20,18,9,49,0.615777
TR11_c0_g1_i2,0.474597,280,270,303,280,241,0,0,0.059228
TR12_c0_g1_i1,0.714286,0,448,0,0,0,0,219,0.996569
TR12_c0_g1_i2,0.675165,9,449,13,10,9,0,1,0.947136
TR12_c0_g2_i1,1,2,332,2,2,2,0,235,0.977942
TR13_c0_g1_i1,0.875325,6,647,19,19,17,7,31,0.758179
TR13_c0_g2_i1,0.795429,4,451,8,8,8,0,0,0.479256
TR14_c0_g1_i1,0.853782,0,411,7,7,7,5,0,0.793832
TR15_c0_g1_i1,0.881633,2,277,3,3,2,0,23,0.986884
TR15_c0_g2_i1,0.946032,1,277,3,3,3,1,20,0.937982
TR16_c0_g1_i1,0.916044,0,629,33,32,32,22,0,0.868438
TR17_c0_g1_i1,0.885281,0,372,33,32,32,18,0,0.915484
TR18_c0_g1_i1,0.662857,1,232,2,1,1,0,25,0.992825
TR18_c0_g2_i1,0.848352,1,233,6,5,4,2,0,0.728824
TR19_c0_g1_i1,0.88022,1,526,12,12,10,5,45,0.70939
TR19_c0_g2_i1,0.888479,3,525,13,12,11,4,22,0.440195
TR20_c0_g1_i1,0.522535,0,537,48,40,36,16,0,0.196141
TR21_c0_g1_i1,0.840994,5,438,19,16,15,2,35,0.892798
TR21_c0_g2_i1,0.896703,4,319,4,4,4,0,22,0.508197
TR22_c0_g1_i1,0.866667,0,508,7,7,7,3,200,0.619767
TR22_c0_g2_i1,0.847792,0,619,26,25,25,13,39,0.762171
TR23_c0_g1_i1,0.74,0,252,0,0,0,0,19,0.911514
TR23_c0_g2_i1,0.820779,2,270,6,5,4,1,4,0.558153
TR24_c0_g1_i1,0.9,2,232,2,2,1,0,101,0.742012
TR24_c0_g2_i1,0.902521,7,312,7,7,5,0,0,0.80041
TR24_c0_g2_i2,0.870517,3,636,22,20,18,11,36,0.916723
TR25_c0_g1_i1,0.774983,4,416,214,204,178,57,0,0.751259
TR26_c0_g1_i1,0.875918,0,303,17,16,16,8,0,0.737997
TR27_c0_g1_i1,0.794805,2,558,15,14,14,7,7,0.858413
TR27_c0_g1_i2,0.799048,3,371,8,7,7,1,7,0.912808
TR28_c0_g1_i1,0.909117,3,487,155,143,132,80,0,0.272284
TR28_c0_g2_i1,0.86383,5,487,175,162,135,76,52,0.32452
TR29_c0_g1_i1,0.821366,1,410,60,59,49,22,0,0.122295
TR30_c0_g1_i1,0.885714,4,250,4,4,4,0,38,0.937034
TR30_c0_g2_i1,1,0,342,0,0,0,0,248,0.997424
TR30_c0_g2_i2,0.8375,3,341,5,4,2,1,16,0.940652
TR31_c0_g1_i1,0.771429,0,273,10,8,7,1,0,0.622353
TR32_c0_g1_i1,0.836607,0,286,15,15,15,6,0,0.930251
TR33_c0_g1_i1,0.793789,4,481,11,9,6,4,22,0.951105
TR33_c0_g2_i1,0.84966,9,438,14,10,8,1,6,0.771458
TR34_c0_g1_i1,0.802198,0,382,20,19,18,6,0,0.944434
TR35_c0_g1_i1,0.971429,0,348,0,0,0,0,257,0.997424
TR35_c0_g2_i1,0.830888,8,348,15,13,10,2,0,0.240502
TR35_c0_g3_i1,0.897959,3,228,4,3,3,0,32,0.986431
TR35_c0_g3_i2,0.971429,0,228,0,0,0,0,48,0.997424
TR36_c0_g1_i1,0.871429,0,540,4,4,4,3,182,0.992437
TR36_c0_g2_i1,0.830303,2,540,26,26,23,14,2,0.531454
TR37_c0_g1_i1,0.758525,0,291,14,13,12,3,4,0.899823
TR38_c0_g1_i1,0.938249,0,644,15,15,14,9,58,0.606587
TR38_c0_g1_i2,0.882857,1,645,14,14,12,7,56,0.986772
TR39_c0_g1_i1,0.926531,1,245,4,4,4,0,99,0.993268
TR39_c0_g1_i2,0.533512,2,236,7,2,2,0,0,0.0393683
TR40_c0_g1_i1,0.878346,0,649,96,94,86,54,0,0.482142
TR41_c0_g1_i1,0.856762,0,336,34,33,33,17,0,0.805356
TR41_c0_g2_i1,0.87655,2,448,55,51,47,26,3,0.598179
TR41_c0_g3_i1,0.772789,0,337,10,10,8,3,34,0.847583
TR42_c0_g1_i1,0.760591,7,421,20,19,15,5,4,0.191039
TR42_c0_g2_i1,0.866071,9,433,12,12,12,1,24,0.934094
