name,p_seq_true,bridges,length,fragments_mapped,both_mapped,properpair,good,bases_uncovered,p_not_segmented
TR1-c0_g1_i1,0.798319,0,703,14,14,14,7,26,0.981989
TR1-c0_g1_i2,0.834586,0,692,18,17,16,9,28,0.970052
TR2-c0_g1_i1,0.890323,0,372,16,15,14,10,0,0.924036
TR3-c0_g1_i1,0.721143,0,311,14,11,9,5,16,0.901663
TR4-c0_g1_i1,0.912245,0,237,16,13,12,8,0,0.840013
TR5-c0_g1_i1,0.83354,0,416,11,11,11,1,0,0.950385
TR6-c0_g1_i1,0.803175,2,234,3,2,2,0,0,0.96149
TR6-c0_g2_i1,0.757143,1,234,1,1,1,0,138,0.994416
TR7-c0_g1_i1,0.915079,0,501,18,17,17,11,0,0.920592
TR8-c0_g1_i1,0.854545,2,394,3,3,3,0,96,0.986374
TR8-c0_g2_i1,0.862637,9,437,12,11,11,1,0,0.931577
TR8-c0_g2_i2,1,1,268,1,1,1,0,149,0.993709
TR9-c0_g1_i1,0.875,2,480,5,5,5,2,5,0.971557
TR9-c0_g2_i1,0.762733,4,481,13,9,8,4,31,0.966071
TR10-c0_g1_i1,0.87619,1,351,1,1,1,0,258,0.996646
TR10-c0_g2_i1,0.730159,4,386,8,8,5,1,64,0.837732
TR11-c0_g1_i1,0.838561,9,529,64,63,55,21,0,0.686147
TR11-c0_g2_i1,0.895604,2,489,9,9,7,3,17,0.902187
TR12-c0_g1_i1,0.708571,0,266,10,8,7,4,0,0.993831
TR13-c0_g1_i1,0.940816,0,271,7,7,7,4,0,0.955866
TR14-c0_g1_i1,0.819888,1,346,161,144,123,71,0,0.714319
TR15-c0_g1_i1,0.831169,5,394,7,6,6,1,0,0.730654
TR15-c0_g2_i1,0.885714,1,395,1,1,1,0,206,0.997424
TR16-c0_g1_i1,1,0,365,3,3,3,3,152,0.99037
TR16-c0_g2_i1,0.485714,0,243,1,0,0,0,47,0.96306
TR17-c0_g1_i1,0.505518,0,492,18,16,16,7,0,0.283557
TR18-c0_g1_i1,0.871429,1,302,13,12,12,3,25,0.940895
TR18-c0_g2_i1,0.925,1,301,8,7,7,2,0,0.943558
TR19-c0_g1_i1,0.822619,0,319,12,12,12,4,0,0.908334
TR20-c0_g1_i1,1,0,243,0,0,0,0,243,0.997424
TR20-c0_g1_i2,0.685714,0,263,0,0,0,0,74,0.995055
TR20-c0_g1_i3,0.647619,2,263,2,2,2,0,104,0.995484
TR20-c0_g1_i4,0.711111,0,243,1,1,0,0,0,0.126651
TR21-c0_g1_i1,0.631579,1,231,13,7,5,1,0,0.196074
TR22-c0_g1_i1,0.808571,1,262,5,4,2,1,82,0.116571
TR22-c0_g1_i2,0.864516,4,262,14,13,10,3,0,0.180731
TR22-c0_g2_i1,0.828571,0,285,5,5,5,1,83,0.428038
TR23-c0_g1_i1,0.804969,5,457,7,6,5,1,118,0.645634
TR23-c0_g2_i1,0.855985,16,499,27,26,20,4,0,0.640801
TR24-c0_g1_i1,0.457411,0,341,29,28,24,14,0,0.7233
TR24-c0_g2_i1,0.314626,240,255,647,243,5,2,0,0.124415
TR25-c0_g1_i1,0.839776,3,627,19,19,19,12,84,0.253034
TR25-c0_g1_i2,0.768254,11,501,16,13,10,1,14,0.401638
TR25-c0_g2_i1,0.402857,2,284,4,2,2,0,120,0.686439
TR26-c0_g1_i1,0.859429,3,408,8,6,6,1,44,0.161435
TR26-c0_g2_i1,0.878261,17,408,32,28,23,5,6,0.474877
TR27-c0_g1_i1,0.828571,0,299,2,2,2,0,192,0.771527
TR27-c0_g2_i1,0.914846,0,567,24,23,23,15,0,0.832775
TR27-c0_g3_i1,0.888636,1,737,85,84,81,53,40,0.845353
TR27-c0_g3_i2,0.869697,1,737,33,29,26,14,18,0.906537
TR28-c0_g1_i1,0.769841,1,297,10,7,5,4,0,0.150284
TR29-c0_g1_i1,0.567347,0,236,7,0,0,0,0,0.923834
TR29-c0_g1_i2,0.803727,1,280,14,9,7,2,28,0.783891
